order_id,order_date,ship_date,ship_mode,order_priority,customer_id
IN-2013-25042,2023-08-12,2023-08-18,Standard Class,Medium,SC-20695
CA-2011-124247,2021-12-16,2021-12-21,Standard Class,Medium,SH-20635
IN-2013-84997,2023-03-25,2023-03-27,Second Class,Medium,RC-19960
CA-2014-150497,2024-07-21,2024-07-25,Standard Class,High,SM-20950
MX-2013-148754,2023-11-09,2023-11-11,Second Class,High,KB-16600
IN-2013-12155,2023-05-07,2023-05-10,First Class,Critical,DR-12880
ES-2012-3876252,2022-09-03,2022-09-06,First Class,High,HM-14860
CA-2013-166674,2023-04-02,2023-04-04,Second Class,Critical,RB-19360
GH-2012-3930,2022-12-24,2022-12-29,Second Class,High,IM-5055
ES-2014-3986842,2024-08-04,2024-08-08,Standard Class,High,AY-10555
ES-2013-3894596,2023-02-26,2023-02-26,Same Day,High,KB-16240
CA-2013-101791,2023-05-28,2023-06-01,Standard Class,Medium,BS-11665
IT-2014-2354924,2024-01-20,2024-01-24,Standard Class,High,MH-18025
IN-2013-33428,2023-03-25,2023-03-31,Standard Class,Medium,JJ-15445
IN-2014-35227,2024-01-15,2024-01-15,Same Day,High,SP-20620
CA-2011-128888,2021-11-15,2021-11-22,Standard Class,Medium,PB-19105
CA-2014-161956,2024-08-28,2024-08-30,Second Class,Medium,DR-12880
CA-2011-154158,2021-12-23,2021-12-27,Second Class,High,CC-12670
US-2013-167850,2023-08-14,2023-08-18,Second Class,High,AG-10330
GB-2012-6690,2022-06-12,2022-06-16,Standard Class,High,ML-8265
CA-2014-159156,2024-11-14,2024-11-17,First Class,Medium,KB-16600
CA-2012-154284,2022-12-21,2022-12-26,Second Class,Medium,SZ-20035
CA-2012-133452,2022-04-13,2022-04-19,Standard Class,Medium,ZC-21910
CA-2011-120670,2021-11-02,2021-11-06,Standard Class,Medium,JK-16120
PL-2014-1380,2024-05-13,2024-05-17,Standard Class,Medium,RR-9315
ES-2014-4856325,2024-04-25,2024-04-26,First Class,High,GH-14410
ES-2013-3946680,2023-02-27,2023-03-04,Standard Class,Medium,AC-10450
MX-2014-135363,2024-02-12,2024-02-17,Second Class,Medium,KM-16660
US-2013-123750,2023-04-16,2023-04-22,Standard Class,Low,RB-19795
MO-2014-5270,2024-09-23,2024-09-26,Second Class,Medium,JF-5490
CA-2014-152695,2024-12-11,2024-12-11,Same Day,High,CC-12220
MX-2012-144568,2022-03-05,2022-03-12,Standard Class,Medium,PO-18850
AU-2014-8970,2024-09-08,2024-09-12,Standard Class,High,AG-765
ES-2014-4112364,2024-08-06,2024-08-12,Standard Class,Medium,MK-17905
ES-2011-5335590,2021-12-08,2021-12-12,Standard Class,Medium,SB-20170
MX-2012-135769,2022-12-21,2022-12-28,Standard Class,Low,TH-21235
MX-2014-101441,2024-11-28,2024-11-30,First Class,Medium,RP-19390
MX-2012-162411,2022-07-25,2022-07-31,Standard Class,Medium,BH-11710
IN-2013-46847,2023-07-16,2023-07-19,First Class,Medium,AD-10180
ES-2014-2282871,2024-01-17,2024-01-23,Standard Class,Medium,JG-15805
ES-2011-3737786,2021-08-18,2021-08-20,Second Class,Medium,PP-18955
MX-2012-112935,2022-04-13,2022-04-18,Second Class,Medium,JE-15745
MG-2012-4980,2022-08-17,2022-08-21,Standard Class,Medium,SS-10140
IN-2011-71060,2021-08-23,2021-08-28,Standard Class,Medium,AH-10075
ES-2014-2024223,2024-12-12,2024-12-17,Standard Class,Medium,RF-19840
IN-2013-63927,2023-09-21,2023-09-28,Standard Class,Medium,EG-13900
US-2014-120418,2024-06-12,2024-06-13,First Class,Critical,BC-11125
CA-2014-168655,2024-10-13,2024-10-19,Standard Class,Medium,ML-18040
TU-2011-4860,2021-11-23,2021-11-25,Second Class,High,MO-7800
ID-2012-75925,2022-01-19,2022-01-25,Standard Class,Medium,PL-18925
MX-2012-164441,2022-05-16,2022-05-21,Standard Class,Medium,MB-17305
US-2014-113992,2024-12-15,2024-12-20,Standard Class,Medium,LC-16885
IN-2012-31846,2022-09-22,2022-09-28,Standard Class,Low,BG-11740
IN-2012-52111,2022-11-30,2022-11-30,Same Day,Critical,JH-16180
MX-2014-136784,2024-10-20,2024-10-25,Standard Class,Medium,TB-21625
CA-2011-138128,2021-12-09,2021-12-15,Standard Class,Medium,FP-14320
IZ-2013-5120,2023-01-28,2023-02-02,Second Class,Medium,NP-8670
MX-2012-101854,2022-10-05,2022-10-09,Standard Class,Medium,BN-11515
ES-2014-4598380,2024-03-28,2024-04-02,Standard Class,High,TG-21310
MX-2014-152121,2024-04-27,2024-05-02,Standard Class,High,DB-13555
MX-2014-166254,2024-08-28,2024-09-01,Standard Class,High,YS-21880
US-2012-100930,2022-09-05,2022-09-10,Second Class,High,SV-20365
IN-2014-33281,2024-08-26,2024-08-30,Standard Class,High,RK-19300
CA-2011-140795,2021-02-02,2021-02-04,First Class,High,BD-11500
SY-2012-7790,2022-08-08,2022-08-08,Same Day,Medium,BD-1635
IT-2011-4770705,2021-11-10,2021-11-17,Standard Class,Low,ME-17320
ID-2011-56535,2021-11-24,2021-11-29,Standard Class,Medium,RO-19780
CA-2012-153423,2022-06-22,2022-06-27,Standard Class,Medium,SW-20455
ES-2014-3563838,2024-04-19,2024-04-22,First Class,High,MB-17305
CA-2011-127446,2021-11-25,2021-11-30,Standard Class,Medium,MC-17590
MX-2011-120096,2021-10-16,2021-10-20,Standard Class,High,EB-13840
MX-2011-147158,2021-06-01,2021-06-06,Standard Class,High,YS-21880
IN-2013-69051,2023-06-12,2023-06-16,Standard Class,High,JA-15970
AU-2014-6560,2024-08-27,2024-08-31,Standard Class,High,MD-7860
ES-2014-2565448,2024-11-15,2024-11-19,Standard Class,Medium,LC-17140
IT-2014-5595800,2024-09-09,2024-09-11,Second Class,Critical,JW-15220
IN-2012-83254,2022-11-08,2022-11-13,Standard Class,Medium,GD-14590
ES-2014-4635360,2024-06-27,2024-06-30,Second Class,High,DP-13390
CA-2013-122133,2023-05-17,2023-05-24,Standard Class,Low,JR-15670
ID-2012-62345,2022-04-24,2022-04-27,First Class,High,FO-14305
MX-2013-133417,2023-04-03,2023-04-06,Second Class,High,AS-10090
US-2011-118997,2021-04-08,2021-04-12,Standard Class,Medium,RA-19885
CA-2013-146766,2023-11-05,2023-11-05,Same Day,Critical,TT-21220
CA-2013-155978,2023-08-02,2023-08-02,Same Day,Medium,TS-21205
MX-2013-122063,2023-10-05,2023-10-10,Standard Class,Medium,CS-12505
ES-2014-5160531,2024-11-12,2024-11-18,Standard Class,Low,PW-19030
IN-2014-50417,2024-06-24,2024-06-29,Standard Class,High,DB-13360
ES-2014-5296123,2024-06-30,2024-07-07,Standard Class,Low,AC-10615
US-2012-102519,2022-09-13,2022-09-18,Standard Class,High,CM-12445
MX-2011-152562,2021-09-23,2021-09-27,Second Class,High,BP-11185
ES-2012-4620972,2022-12-20,2022-12-24,Standard Class,Medium,AR-10570
ES-2013-2840343,2023-05-10,2023-05-16,Standard Class,Medium,TC-21295
CA-2012-154326,2022-02-15,2022-02-19,Standard Class,Medium,RP-19855
IN-2013-62191,2023-08-22,2023-08-24,Second Class,High,JM-15865
BO-2014-5570,2024-02-07,2024-02-14,Standard Class,Medium,DS-3030
IN-2012-10041,2022-11-29,2022-12-01,Second Class,Critical,CR-12580
ES-2014-2794530,2024-10-23,2024-10-27,Second Class,High,ER-13855
ID-2012-28255,2022-10-10,2022-10-13,First Class,Critical,TB-21280
ES-2012-4362177,2022-08-29,2022-08-30,First Class,Critical,RD-19585
CA-2014-141929,2024-09-05,2024-09-09,Standard Class,High,RA-19285
IN-2013-18980,2023-08-16,2023-08-23,Standard Class,Low,SM-20905
US-2012-101511,2022-11-21,2022-11-23,Second Class,Critical,JE-15745
SF-2013-630,2023-05-15,2023-05-20,Standard Class,Medium,AH-75
ES-2014-1383281,2024-04-24,2024-04-29,Standard Class,Medium,SC-20800
US-2013-125605,2023-10-11,2023-10-11,Same Day,High,LR-16915
US-2011-111157,2021-06-30,2021-07-02,First Class,High,CC-12550
ID-2013-53084,2023-07-22,2023-07-25,Second Class,High,TH-21100
ID-2011-17370,2021-12-14,2021-12-17,First Class,High,LC-16885
ID-2011-63668,2021-12-10,2021-12-13,Second Class,High,FM-14290
ES-2011-3060159,2021-01-24,2021-01-29,Standard Class,Medium,CP-12340
IT-2014-3219372,2024-11-08,2024-11-15,Standard Class,Medium,MJ-17740
IN-2011-80167,2021-02-04,2021-02-07,First Class,Medium,CC-12370
MX-2014-108042,2024-11-05,2024-11-10,Standard Class,Medium,TC-21145
CA-2012-147690,2022-11-10,2022-11-14,Standard Class,High,SC-20020
IN-2012-48618,2022-09-24,2022-09-30,Standard Class,Medium,BD-11725
IN-2013-12204,2023-06-27,2023-07-03,Standard Class,Medium,BT-11680
CA-2011-151295,2021-11-12,2021-11-16,Standard Class,High,JA-15970
MX-2013-142958,2023-11-19,2023-11-21,First Class,High,EM-13960
CA-2014-131037,2024-08-23,2024-08-24,First Class,High,TM-21490
US-2012-120131,2022-12-18,2022-12-23,Standard Class,Medium,LM-17065
CA-2013-113243,2023-06-11,2023-06-16,Standard Class,Medium,OT-18730
ES-2012-4319979,2022-10-19,2022-10-21,First Class,Medium,BC-11125
IT-2014-2595914,2024-08-12,2024-08-19,Standard Class,Medium,CH-12070
IN-2011-11889,2021-05-24,2021-05-28,Standard Class,Medium,DO-13645
ID-2014-71403,2024-12-16,2024-12-20,Standard Class,Medium,LS-17200
BA-2013-8930,2023-09-20,2023-09-22,Second Class,Medium,ES-4080
IN-2014-12232,2024-11-04,2024-11-11,Standard Class,Low,CM-12385
MX-2013-108959,2023-11-28,2023-12-02,Standard Class,Medium,RB-19330
MX-2014-109071,2024-04-10,2024-04-16,Standard Class,Medium,MC-17425
IN-2013-31006,2023-07-02,2023-07-05,Second Class,Medium,NB-18580
ES-2014-4859567,2024-09-30,2024-10-02,Second Class,Critical,RR-19525
IN-2014-39371,2024-09-12,2024-09-16,Standard Class,Medium,NH-18610
US-2012-142230,2022-03-26,2022-03-29,First Class,Medium,QJ-19255
CA-2013-125080,2023-10-22,2023-10-27,Standard Class,High,VW-21775
TU-2012-3070,2022-10-11,2022-10-17,Standard Class,Medium,KD-6270
CA-2013-3990,2023-08-17,2023-08-17,Same Day,High,DL-2865
CA-2011-142587,2021-10-21,2021-10-22,First Class,Critical,TB-21520
US-2013-168620,2023-12-25,2023-12-29,Second Class,Medium,RB-19795
MX-2013-128671,2023-03-13,2023-03-15,Second Class,High,MC-17845
MX-2012-162446,2022-06-06,2022-06-07,First Class,High,DS-13180
CA-2013-111682,2023-06-18,2023-06-19,First Class,Critical,TB-21055
ES-2013-4145439,2023-06-21,2023-06-26,Standard Class,Medium,CG-12520
IT-2014-2508683,2024-07-03,2024-07-06,Second Class,High,NW-18400
US-2014-100930,2024-04-08,2024-04-13,Standard Class,Medium,CS-12400
IT-2011-4546695,2021-01-08,2021-01-14,Standard Class,Medium,DP-13000
ID-2014-22410,2024-01-31,2024-02-04,Second Class,High,MY-17380
MX-2012-134215,2022-07-24,2022-07-27,Second Class,High,EB-13930
CA-2011-147543,2021-07-06,2021-07-12,Standard Class,Low,BC-11125
IN-2014-49815,2024-06-09,2024-06-16,Standard Class,Low,RB-19330
ES-2012-5411795,2022-07-04,2022-07-10,Standard Class,Medium,SW-20245
IV-2013-8930,2023-09-04,2023-09-04,Same Day,Medium,MJ-7740
CA-2014-143798,2024-12-11,2024-12-13,First Class,Critical,AW-10840
IS-2011-4410,2021-08-03,2021-08-07,Standard Class,High,JL-5175
IT-2014-5992832,2024-08-14,2024-08-17,Second Class,High,MC-17575
IT-2012-2847671,2022-11-23,2022-11-25,Second Class,High,TM-21010
ES-2014-4783477,2024-09-16,2024-09-21,Second Class,Medium,IG-15085
ID-2014-76380,2024-04-28,2024-05-03,Standard Class,Medium,BD-11725
CA-2012-130974,2022-11-27,2022-11-29,Second Class,High,MA-17560
ES-2014-3451249,2024-09-29,2024-10-02,First Class,Medium,CA-12775
MX-2011-122728,2021-04-15,2021-04-16,First Class,High,HK-14890
IN-2012-50942,2022-11-14,2022-11-19,Second Class,High,JB-16000
CA-2014-1450,2024-02-11,2024-02-14,First Class,Critical,DM-3525
ES-2012-2523254,2022-10-21,2022-10-21,Same Day,Critical,JS-15880
CA-2013-5470,2023-10-18,2023-10-20,Second Class,High,NG-8430
IN-2014-64396,2024-06-24,2024-06-30,Standard Class,Low,AB-10255
IN-2013-78683,2023-03-18,2023-03-22,Standard Class,Medium,BP-11185
RO-2014-1390,2024-11-25,2024-11-27,First Class,High,GH-4665
IN-2012-68785,2022-01-13,2022-01-17,Standard Class,High,CC-12610
IT-2011-4688263,2021-11-11,2021-11-16,Standard Class,Medium,BS-11755
ES-2011-5268439,2021-04-29,2021-05-01,Second Class,High,HJ-14875
ID-2014-22270,2024-02-07,2024-02-11,Second Class,Medium,TZ-21445
CA-2011-129189,2021-07-21,2021-07-25,Standard Class,Medium,HM-14860
MX-2013-130883,2023-07-23,2023-07-28,Standard Class,High,SB-20185
CA-2012-102876,2022-09-07,2022-09-14,Standard Class,Medium,LR-17035
ES-2014-5374606,2024-07-30,2024-07-31,First Class,High,BM-11650
IN-2012-85781,2022-12-28,2023-01-01,Second Class,High,HM-14860
CA-2014-141439,2024-11-27,2024-12-02,Standard Class,Medium,TT-21460
ES-2014-2965756,2024-06-07,2024-06-12,Second Class,Medium,AJ-10960
ES-2013-5085939,2023-10-16,2023-10-19,First Class,High,TC-21535
IN-2011-75218,2021-05-31,2021-05-31,Same Day,Medium,AH-10465
MX-2013-137974,2023-05-04,2023-05-06,First Class,High,MY-17380
ES-2013-5668540,2023-11-09,2023-11-09,Same Day,Critical,BM-11575
ID-2014-39084,2024-06-13,2024-06-17,Standard Class,Medium,PO-18865
IN-2013-55814,2023-09-24,2023-09-30,Standard Class,Medium,TB-21190
ES-2014-5265060,2024-04-10,2024-04-16,Standard Class,Medium,RA-19885
ES-2014-5831908,2024-11-12,2024-11-14,First Class,High,BP-11155
IN-2014-73587,2024-09-30,2024-10-02,Second Class,Medium,SS-20590
MX-2013-154942,2023-12-11,2023-12-16,Standard Class,Medium,NM-18445
MX-2011-156748,2021-02-28,2021-02-28,Same Day,High,SB-20185
MX-2011-131359,2021-10-04,2021-10-06,Second Class,High,AY-10555
IN-2012-33813,2022-06-19,2022-06-23,Standard Class,High,CA-12055
IN-2013-38034,2023-09-17,2023-09-19,First Class,High,DB-13210
US-2014-138212,2024-10-14,2024-10-19,Standard Class,High,HA-14905
IT-2011-3459226,2021-09-27,2021-10-03,Standard Class,Low,LW-16990
AG-2013-7890,2023-08-26,2023-08-29,Second Class,Medium,DJ-3510
US-2012-138303,2022-09-03,2022-09-07,Standard Class,High,MG-18145
TU-2013-9570,2023-01-19,2023-01-22,First Class,High,RM-9675
ID-2012-59384,2022-08-10,2022-08-16,Standard Class,Medium,LP-17080
MX-2013-159520,2023-05-16,2023-05-20,Second Class,Medium,JR-15700
ES-2013-3635603,2023-02-19,2023-02-25,Standard Class,Low,PP-18955
IN-2012-16194,2022-10-26,2022-10-31,Standard Class,Medium,CK-12325
CA-2013-129868,2023-12-27,2024-01-01,Standard Class,Medium,MC-18130
RS-2014-8000,2024-02-24,2024-02-26,Second Class,High,CM-2115
MX-2013-147326,2023-07-05,2023-07-05,Same Day,High,TP-21130
ES-2013-2211839,2023-06-21,2023-06-27,Standard Class,Medium,MS-17530
CA-2011-156160,2021-09-22,2021-09-29,Standard Class,Medium,AS-10090
ES-2013-5690968,2023-11-11,2023-11-16,Standard Class,Medium,DD-13570
IN-2014-43410,2024-08-14,2024-08-18,Second Class,Medium,BO-11350
ES-2014-5566428,2024-12-22,2024-12-26,Standard Class,Medium,DB-13270
ES-2014-2799179,2024-12-24,2024-12-25,First Class,High,PW-19030
US-2012-163433,2022-04-18,2022-04-22,Second Class,High,MP-17965
IN-2011-11770,2021-08-25,2021-08-29,Standard Class,Medium,CM-11935
CA-2012-118444,2022-11-05,2022-11-09,Standard Class,High,VD-21670
IN-2011-75323,2021-09-19,2021-09-24,Standard Class,Medium,SC-20095
MX-2014-148950,2024-03-26,2024-03-30,Second Class,Medium,CA-12310
CA-2013-144218,2023-11-01,2023-11-05,Standard Class,Medium,JD-15895
CA-2011-121573,2021-11-03,2021-11-07,Standard Class,High,SG-20605
CA-2014-105333,2024-12-01,2024-12-05,Standard Class,High,VP-21730
US-2013-118346,2023-12-30,2024-01-04,Standard Class,Medium,BT-11440
MX-2012-126473,2022-11-02,2022-11-06,Second Class,Medium,DP-13390
IN-2012-56682,2022-06-05,2022-06-09,Standard Class,High,KH-16330
MO-2013-860,2023-01-16,2023-01-22,Standard Class,Medium,BN-1470
ES-2014-1497718,2024-06-24,2024-06-26,Second Class,Critical,JK-15325
CA-2013-101966,2023-07-15,2023-07-17,Second Class,High,BM-11785
IR-2013-7320,2023-12-16,2023-12-22,Standard Class,Medium,TS-11610
ID-2012-58530,2022-11-27,2022-12-02,Standard Class,Medium,ML-18265
NI-2013-6690,2023-12-09,2023-12-11,First Class,High,PR-8880
IN-2012-76583,2022-02-17,2022-02-21,Standard Class,High,EH-14005
IN-2013-50851,2023-02-16,2023-02-22,Standard Class,Low,AW-10840
IN-2014-28241,2024-10-20,2024-10-26,Standard Class,Medium,BP-11230
IN-2014-73258,2024-04-15,2024-04-15,Same Day,Critical,GR-14560
ES-2014-1366621,2024-06-19,2024-06-25,Standard Class,Low,MZ-17335
IN-2011-85088,2021-03-22,2021-03-25,First Class,Critical,BM-11785
CA-2013-137743,2023-07-31,2023-08-05,Standard Class,Medium,KH-16360
MX-2013-119501,2023-03-16,2023-03-20,Standard Class,Medium,DR-12880
IT-2012-1084413,2022-06-30,2022-06-30,Same Day,Medium,DA-13450
TU-2014-1660,2024-02-03,2024-02-05,Second Class,Critical,IG-5085
US-2013-127586,2023-05-24,2023-05-31,Standard Class,Low,SC-20050
IN-2011-16033,2021-11-07,2021-11-12,Standard Class,Medium,LB-16795
CA-2014-155705,2024-08-22,2024-08-24,Second Class,High,NF-18385
ES-2012-4160852,2022-03-02,2022-03-07,Second Class,Medium,YC-21895
IN-2012-54491,2022-06-09,2022-06-09,Same Day,Medium,KC-16540
MX-2013-107475,2023-10-31,2023-10-31,Same Day,Medium,GR-14560
ES-2013-5090419,2023-03-23,2023-03-29,Standard Class,Medium,NP-18670
ES-2013-2979822,2023-06-15,2023-06-22,Standard Class,Low,PW-19030
ES-2012-1762599,2022-07-05,2022-07-08,First Class,High,MB-17305
CA-2012-166947,2022-06-05,2022-06-10,Standard Class,Medium,EB-13750
CA-2011-152618,2021-03-14,2021-03-17,First Class,Medium,RB-19465
ID-2013-37705,2023-05-09,2023-05-10,First Class,Medium,BF-11005
US-2012-147739,2022-12-25,2022-12-29,Standard Class,Medium,JD-16150
ES-2014-2468091,2024-12-16,2024-12-16,Same Day,High,MC-17845
CA-2011-103100,2021-12-20,2021-12-23,First Class,Medium,AB-10105
ID-2011-65117,2021-07-11,2021-07-15,Standard Class,High,SW-20245
ID-2013-38181,2023-06-18,2023-06-24,Standard Class,Medium,MY-17380
ES-2011-4557691,2021-09-05,2021-09-11,Standard Class,Medium,KB-16315
MA-2014-6360,2024-05-10,2024-05-13,Second Class,Medium,MC-7275
CA-2012-146262,2022-01-02,2022-01-09,Standard Class,Medium,VW-21775
SA-2012-9800,2022-12-17,2022-12-21,Standard Class,High,RP-9390
MX-2014-100419,2024-06-24,2024-06-28,Standard Class,High,LS-17230
MX-2012-158456,2022-04-07,2022-04-11,Standard Class,High,NM-18445
ES-2013-2963054,2023-12-25,2023-12-29,Standard Class,High,TT-21070
MX-2013-134831,2023-03-18,2023-03-20,Second Class,Medium,AW-10840
IN-2014-15564,2024-12-05,2024-12-11,Standard Class,Medium,MG-17890
MX-2013-159142,2023-06-06,2023-06-10,Second Class,High,CS-11950
US-2013-101602,2023-09-25,2023-09-27,Second Class,High,RB-19435
ES-2011-4915337,2021-11-01,2021-11-06,Standard Class,Medium,JG-15115
ES-2013-1715609,2023-08-14,2023-08-19,Second Class,High,SW-20245
MX-2014-129098,2024-03-28,2024-04-02,Standard Class,High,SS-20515
MX-2013-117961,2023-11-25,2023-11-30,Standard Class,High,BP-11095
CG-2014-9570,2024-02-12,2024-02-18,Standard Class,Low,HP-4815
ID-2014-55338,2024-05-08,2024-05-14,Standard Class,Medium,JW-15220
ES-2013-2058842,2023-09-17,2023-09-21,Standard Class,High,JP-16135
IN-2011-19421,2021-08-30,2021-09-01,Second Class,High,ST-20530
US-2011-108721,2021-06-05,2021-06-10,Standard Class,Medium,KB-16315
CA-2013-164574,2023-07-30,2023-08-04,Standard Class,Medium,RH-19555
RS-2011-1130,2021-11-02,2021-11-02,Same Day,Critical,TB-11520
IT-2013-2511833,2023-02-26,2023-03-02,Standard Class,High,PB-19150
ES-2012-4818797,2022-08-09,2022-08-13,Standard Class,High,DS-13030
CA-2012-120621,2022-03-21,2022-03-26,Standard Class,Medium,JW-16075
IS-2014-4250,2024-12-17,2024-12-20,First Class,High,MO-7800
ES-2012-4003155,2022-09-29,2022-10-01,Second Class,Critical,VB-21745
ES-2012-2229637,2022-05-25,2022-05-26,First Class,Critical,CD-11920
ES-2014-1053789,2024-08-21,2024-08-23,Second Class,Medium,MT-18070
IN-2014-35003,2024-09-26,2024-09-29,Second Class,Medium,BE-11335
CA-2011-120411,2021-09-20,2021-09-23,First Class,Critical,SB-20185
MX-2013-145023,2023-10-07,2023-10-12,Second Class,Medium,MS-17710
US-2012-163265,2022-05-15,2022-05-22,Standard Class,Low,ME-18010
IN-2014-74644,2024-04-23,2024-04-26,Second Class,High,PS-18970
NG-2014-5720,2024-05-16,2024-05-16,Same Day,High,EC-4050
CA-2012-138009,2022-11-29,2022-12-03,Standard Class,High,SF-20965
US-2014-130365,2024-06-03,2024-06-05,Second Class,Medium,GH-14410
US-2013-123085,2023-08-09,2023-08-12,Second Class,Medium,TB-21355
ES-2013-5144015,2023-11-19,2023-11-26,Standard Class,Low,RS-19765
CA-2014-123085,2024-03-04,2024-03-09,Standard Class,Medium,EJ-13720
MX-2014-104780,2024-10-25,2024-10-30,Standard Class,Medium,RA-19915
CA-2011-166863,2021-06-20,2021-06-24,Standard Class,High,SC-20020
IN-2014-57011,2024-04-11,2024-04-14,Second Class,Critical,JS-15685
NG-2011-9540,2021-04-25,2021-04-28,First Class,High,BF-1005
MX-2014-132927,2024-06-06,2024-06-12,Standard Class,Low,BE-11335
MO-2014-3850,2024-04-12,2024-04-18,Standard Class,Medium,LC-7140
IN-2013-51621,2023-12-24,2023-12-29,Standard Class,Medium,SG-20080
IN-2012-77773,2022-12-06,2022-12-10,Standard Class,High,ME-17725
ID-2011-80545,2021-01-30,2021-01-30,Same Day,High,HE-14800
CA-2014-147032,2024-08-01,2024-08-05,Standard Class,Medium,LB-16795
CA-2013-158834,2023-03-14,2023-03-17,First Class,Critical,TW-21025
ES-2012-1674960,2022-02-07,2022-02-11,Standard Class,High,TC-20980
US-2013-155768,2023-12-02,2023-12-02,Same Day,High,LB-16795
ES-2012-5912233,2022-09-19,2022-09-19,Same Day,High,PJ-19015
ES-2012-5736749,2022-12-28,2023-01-04,Standard Class,Low,MM-18055
CA-2014-134810,2024-05-10,2024-05-11,First Class,Critical,MC-17605
IN-2013-39686,2023-03-20,2023-03-23,Second Class,High,NW-18400
CA-2014-155698,2024-03-09,2024-03-12,First Class,High,VB-21745
ES-2014-5547121,2024-12-18,2024-12-21,First Class,Medium,JF-15355
US-2014-132717,2024-05-19,2024-05-23,Standard Class,Medium,CP-12340
IN-2014-48121,2024-02-18,2024-02-20,First Class,High,CM-12160
ES-2011-3540276,2021-06-08,2021-06-12,Standard Class,Medium,AR-10405
IN-2011-43109,2021-09-27,2021-10-03,Standard Class,Medium,WB-21850
ES-2012-3083992,2022-12-31,2023-01-02,First Class,High,NP-18670
LY-2014-4680,2024-01-20,2024-01-24,Standard Class,High,SC-10050
ID-2012-37047,2022-11-22,2022-11-29,Standard Class,Medium,AG-10675
MX-2014-119508,2024-08-16,2024-08-21,Standard Class,Medium,BS-11665
IN-2014-38356,2024-11-13,2024-11-17,Standard Class,Medium,JK-15730
IN-2011-86460,2021-10-13,2021-10-15,Second Class,High,JJ-15760
MX-2013-157301,2023-12-24,2023-12-29,Standard Class,Medium,RS-19870
ES-2013-4987734,2023-07-30,2023-08-04,Second Class,Medium,HK-14890
ES-2013-5455573,2023-12-13,2023-12-19,Standard Class,Medium,KD-16345
IN-2012-85480,2022-07-30,2022-08-01,First Class,High,CS-12490
IN-2011-30894,2021-08-31,2021-09-03,Second Class,Critical,AM-10705
CA-2014-130309,2024-12-18,2024-12-22,Standard Class,High,GB-14575
US-2014-114398,2024-04-11,2024-04-17,Standard Class,Medium,EB-13705
IT-2012-2675422,2022-05-31,2022-06-02,Second Class,High,BF-11215
IN-2012-65726,2022-11-16,2022-11-21,Standard Class,Medium,DB-12910
CA-2013-105207,2023-01-03,2023-01-08,Standard Class,Medium,BO-11350
ES-2014-3406497,2024-09-11,2024-09-13,Second Class,Medium,DH-13075
US-2011-134733,2021-09-23,2021-09-28,Standard Class,High,BM-11650
MX-2014-111661,2024-05-27,2024-05-31,Standard Class,Medium,SC-20380
CA-2012-163587,2022-03-14,2022-03-18,Standard Class,Medium,EP-13915
IN-2013-34401,2023-11-30,2023-12-04,Standard Class,High,SS-20410
MX-2013-105095,2023-10-26,2023-10-31,Second Class,Medium,EJ-13720
ES-2014-2918798,2024-10-08,2024-10-10,Second Class,High,BE-11410
ZA-2013-4040,2023-08-28,2023-09-04,Standard Class,Low,RF-9345
IN-2011-44761,2021-10-20,2021-10-24,Standard Class,Medium,EM-14140
MX-2014-154900,2024-10-07,2024-10-10,First Class,High,NM-18445
IN-2014-31790,2024-07-23,2024-07-26,First Class,High,DO-13435
CA-2011-143210,2021-12-01,2021-12-03,First Class,High,AA-10645
CA-2012-109512,2022-03-05,2022-03-05,Same Day,Critical,LF-17185
ES-2012-5325598,2022-05-22,2022-05-27,Second Class,High,KD-16495
IN-2011-22802,2021-06-02,2021-06-06,Standard Class,High,KH-16360
US-2012-124219,2022-08-07,2022-08-08,First Class,High,KW-16570
ID-2012-85095,2022-07-16,2022-07-20,Standard Class,Medium,BF-11005
US-2012-145282,2022-04-04,2022-04-07,First Class,Critical,LS-17230
MZ-2011-9840,2021-03-23,2021-03-25,Second Class,High,DK-3375
MX-2014-166513,2024-09-25,2024-09-27,Second Class,High,DK-12985
ID-2012-12960,2022-12-09,2022-12-09,Same Day,High,CC-12670
IN-2012-58978,2022-09-26,2022-09-28,First Class,Medium,BE-11455
IN-2012-29228,2022-01-20,2022-01-25,Standard Class,Medium,AR-10510
TU-2011-8670,2021-10-07,2021-10-11,Standard Class,Medium,DM-3345
IN-2012-11749,2022-12-03,2022-12-05,First Class,High,SM-20905
GH-2012-4620,2022-12-07,2022-12-14,Standard Class,Low,MH-7290
ES-2012-1191624,2022-06-27,2022-07-03,Standard Class,Medium,RS-19870
ES-2013-4122424,2023-07-17,2023-07-20,First Class,High,BE-11335
US-2014-101063,2024-10-09,2024-10-09,Same Day,Medium,PJ-19015
CA-2013-137050,2023-07-15,2023-07-19,Second Class,Medium,SW-20755
CA-2012-127509,2022-11-09,2022-11-13,Standard Class,Medium,AS-10090
IN-2014-52034,2024-03-13,2024-03-20,Standard Class,Medium,RE-19450
CA-2014-116953,2024-04-25,2024-04-26,First Class,Medium,SV-20935
UP-2014-2770,2024-11-01,2024-11-02,First Class,Medium,CD-2280
SF-2012-6490,2022-09-25,2022-10-01,Standard Class,Medium,JG-5160
IN-2012-46903,2022-06-22,2022-06-27,Second Class,Medium,JG-15310
IZ-2012-7140,2022-08-06,2022-08-10,Standard Class,High,BP-1095
